Year,School,Conference,Sport,State,GSR,FGR
1998,University of Akron,Mid-American Conference,Football,OH,60,53
1998,Alabama State University,Southwestern Athletic Conf.,Football,AL,44,41
1998,University of Alabama,Southeastern Conference,Football,AL,39,39
1998,University of Alabama at Birmingham,Conference USA,Football,AL,51,52
1998,Alcorn State University,Southwestern Athletic Conf.,Football,MS,88,45
1998,Appalachian State University,Southern Conference,Football,NC,65,51
1998,Arizona State University,Pac-12 Conference,Football,AZ,52,49
1998,University of Arizona,Pac-12 Conference,Football,AZ,44,41
1998,Arkansas State University,Sun Belt Conference,Football,AR,58,45
1998,"University of Arkansas, Fayetteville",Southeastern Conference,Football,AR,47,33
1998,Auburn University,Southeastern Conference,Football,AL,59,46
1998,Austin Peay State University,Pioneer Football League,Football,TN,35,16
1998,Ball State University,Mid-American Conference,Football,IN,84,78
1998,Charleston Southern University,Big South Conference,Football,SC,36,36
1998,Baylor University,Big 12 Conference,Football,TX,88,73
1998,Bethune-Cookman University,Mid-Eastern Athletic Conf.,Football,FL,70,32
1998,Boise State University,Western Athletic Conference,Football,ID,66,52
1998,Boston College,American Athletic Conference,Football,MA,89,83
1998,Bowling Green State University,Mid-American Conference,Football,OH,73,53
1998,Brigham Young University,Mountain West Conference,Football,UT,40,18
1998,Bucknell University,Patriot League,Football,PA,90,86
1998,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,76,64
1998,Butler University,Pioneer Football League,Football,IN,91,
1998,California Polytechnic State University,Independent,Football,CA,65,55
1998,"California State University, Fresno",Western Athletic Conference,Football,CA,47,43
1998,"California State University, Sacramento",Big Sky Conference,Football,CA,63,51
1998,"University of California, Berkeley",Pac-12 Conference,Football,CA,47,41
1998,"University of California, Los Angeles",Pac-12 Conference,Football,CA,63,57
1998,Central Connecticut State University,Northeast Conference,Football,CT,,
1998,University of Central Florida,Mid-American Conference,Football,FL,58,36
1998,Central Michigan University,Mid-American Conference,Football,MI,64,55
1998,University of Cincinnati,Conference USA,Football,OH,68,67
1998,The Citadel,Southern Conference,Football,SC,96,75
1998,Clemson University,Atlantic Coast Conference,Football,SC,72,49
1998,Colgate University,Patriot League,Football,NY,88,79
1998,Colorado State University,Mountain West Conference,Football,CO,59,52
1998,"University of Colorado, Boulder",Big 12 Conference,Football,CO,58,53
1998,University of Connecticut,American Athletic Conference,Football,CT,71,51
1998,Davidson College,Pioneer Football League,Football,NC,99,
1998,University of Dayton,Pioneer Football League,Football,OH,96,
1998,Delaware State University,Mid-Eastern Athletic Conf.,Football,DE,56,43
1998,University of Delaware,Atlantic 10 Conference,Football,DE,80,69
1998,Drake University,Pioneer Football League,Football,IA,79,
1998,Duke University,Atlantic Coast Conference,Football,NC,87,81
1998,Duquesne University,Metro Atlantic Athletic Conference,Football,PA,81,
1998,East Carolina University,Conference USA,Football,NC,74,64
1998,Eastern Illinois University,Ohio Valley Conference,Football,IL,63,50
1998,Eastern Kentucky University,Ohio Valley Conference,Football,KY,53,43
1998,Eastern Michigan University,Mid-American Conference,Football,MI,55,63
1998,Eastern Washington University,Big Sky Conference,Football,WA,76,42
1998,Florida A&M University,Mid-Eastern Athletic Conf.,Football,FL,31,31
1998,Florida State University,Atlantic Coast Conference,Football,FL,52,46
1998,University of Florida,Southeastern Conference,Football,FL,80,42
1998,Fordham University,Patriot League,Football,NY,83,69
1998,Furman University,Southern Conference,Football,SC,94,79
1998,Georgetown University,Patriot League,Football,DC,99,97
1998,Georgia Southern University,Southern Conference,Football,GA,64,60
1998,Georgia Institute of Technology,Atlantic Coast Conference,Football,GA,53,47
1998,University of Georgia,Southeastern Conference,Football,GA,45,44
1998,Grambling State University,Southwestern Athletic Conf.,Football,LA,31,31
1998,Hampton University,Mid-Eastern Athletic Conf.,Football,VA,67,49
1998,"University of Hawaii, Manoa",Western Athletic Conference,Football,HI,39,36
1998,Hofstra University,Atlantic 10 Conference,Football,NY,55,46
1998,College of the Holy Cross,Patriot League,Football,MA,95,80
1998,University of Houston,Conference USA,Football,TX,45,42
1998,Howard University,Mid-Eastern Athletic Conf.,Football,DC,49,48
1998,Idaho State University,Big Sky Conference,Football,ID,33,15
1998,University of Idaho,Sun Belt Conference,Football,ID,54,43
1998,Illinois State University,Missouri Valley Football Conference,Football,IL,54,49
1998,University of Illinois Urbana-Champaign,Big Ten Conference,Football,IL,73,58
1998,Indiana State University,Missouri Valley Football Conference,Football,IN,78,62
1998,"Indiana University, Bloomington",Big Ten Conference,Football,IN,77,66
1998,Iona College,Metro Atlantic Athletic Conference,Football,NY,62,
1998,Iowa State University,Big 12 Conference,Football,IA,51,54
1998,University of Iowa,Big Ten Conference,Football,IA,58,53
1998,Jackson State University,Southwestern Athletic Conf.,Football,MS,33,34
1998,Jacksonville State University,Ohio Valley Conference,Football,AL,49,43
1998,Jacksonville University,Pioneer Football League,Football,FL,59,
1998,James Madison University,Atlantic 10 Conference,Football,VA,68,64
1998,Kansas State University,Big 12 Conference,Football,KS,75,56
1998,University of Kansas,Big 12 Conference,Football,KS,46,46
1998,Kent State University,Mid-American Conference,Football,OH,74,67
1998,University of Kentucky,Southeastern Conference,Football,KY,57,40
1998,La Salle University,Metro Atlantic Athletic Conference,Football,PA,89,
1998,Lafayette College,Patriot League,Football,PA,93,78
