Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Eli Abbott,1902,1902,Alabama,1,8,4,4,0,0.5,0,0,0,0,
Earl Abell,1928,1930,Virginia,3,28,14,12,2,0.536,0,0,0,0,
Earl Able,1923,1924,Mississippi State,2,18,10,6,2,0.611,0,0,0,0,
George Adams,1890,1892,Harvard,3,36,34,2,0,0.944,0,0,0,0,
Hobbs Adams,1940,1946,Kansas State,3,27,4,21,2,0.185,0,0,0,0,
Steve Addazio,2011,2019,Boston College,9,112,57,55,0,0.509,5,2,3,0,0.4
Alex Agase,1964,1976,Purdue,13,135,50,83,2,0.378,0,0,0,0,
Phil Ahwesh,1949,1949,Duquesne,1,9,3,6,0,0.333,0,0,0,0,
Jim Aiken,1946,1950,Oregon,5,50,28,22,0,0.56,1,0,1,0,0
Fred Akers,1975,1990,Purdue,16,186,108,75,3,0.589,10,2,8,0,0.2
Robb Akey,2007,2012,Idaho,6,70,20,50,0,0.286,1,1,0,0,1
Ray Alborn,1978,1983,Rice,6,66,13,53,0,0.197,0,0,0,0,
Luman Aldrich,1877,1877,Tufts,1,3,0,3,0,0,0,0,0,0,
S.M. Alexander,1923,1923,Duke,1,9,5,4,0,0.556,0,0,0,0,
William Alexander,1920,1944,Georgia Tech,25,244,134,95,15,0.58,5,3,2,0,0.6
George Allen,1927,1932,Colorado Mines,6,42,9,32,1,0.226,0,0,0,0,
George Allen,1990,1990,Long Beach State,1,11,6,5,0,0.545,0,0,0,0,
Phog Allen,1920,1920,Kansas,1,8,5,2,1,0.688,0,0,0,0,
Pokey Allen,1996,1996,Boise State,1,2,1,1,0,0.5,0,0,0,0,
Terry Allen,1997,2001,Kansas,5,53,20,33,0,0.377,0,0,0,0,
Tom Allen,2016,2019,Indiana,4,38,18,20,0,0.474,2,0,2,0,0
Dave Allerdice,1911,1915,Texas,5,40,33,7,0,0.825,0,0,0,0,
Tom Alley,1973,1974,Louisville,2,22,9,13,0,0.409,0,0,0,0,
Stub Allison,1920,1944,California,11,108,59,47,2,0.556,1,1,0,0,1
Billy Alton,1981,1981,Texas-El Paso,1,9,1,8,0,0.111,0,0,0,0,
Barry Alvarez,1990,2014,Wisconsin,18,197,118,75,4,0.609,13,9,4,0,0.692
Chuck Amato,2000,2006,North Carolina State,7,86,49,37,0,0.57,5,4,1,0,0.8
Paul Amen,1956,1959,Wake Forest,4,40,11,26,3,0.313,0,0,0,0,
Knowlton Ames,1892,1892,Purdue,1,18,13,3,2,0.778,0,0,0,0,
William Amos,1929,1931,Washington & Jefferson,3,28,17,8,3,0.661,0,0,0,0,
Tom Amstutz,2001,2008,Toledo,8,99,58,41,0,0.586,4,2,2,0,0.5
Gary Andersen,2009,2019,Oregon State,10,119,59,60,0,0.496,4,1,3,0,0.25
Blake Anderson,2014,2019,Arkansas State,6,77,47,30,0,0.61,6,2,4,0,0.333
Dick Anderson,1984,1989,Rutgers,6,65,27,34,4,0.446,0,0,0,0,
Edward Anderson,1938,1964,Iowa,24,225,125,94,6,0.569,0,0,0,0,
Frank Anderson,1919,1919,Mississippi College,1,9,3,5,1,0.389,0,0,0,0,
Frank Anderson,1919,1920,Oglethorpe,2,18,6,10,2,0.389,0,0,0,0,
Harry Anderson,1965,1968,San Jose State,4,39,13,26,0,0.333,0,0,0,0,
Hunk Anderson,1931,1936,North Carolina State,6,56,27,26,3,0.509,0,0,0,0,
John Anderson,1918,1981,Brown,10,89,52,34,3,0.601,0,0,0,0,
Lew Andreas,1927,1929,Syracuse,3,28,15,10,3,0.589,0,0,0,0,
W. Gresham Andrews,1913,1913,Princeton,1,8,5,2,1,0.688,0,0,0,0,
Dee Andros,1962,1975,Oregon State,14,144,62,80,2,0.438,0,0,0,0,
Moe Ankney,1986,1990,Bowling Green State,5,54,20,31,3,0.398,0,0,0,0,
William Ankney,1963,1964,Dayton,2,20,4,14,2,0.25,0,0,0,0,
Major Applewhite,2016,2018,Houston,3,26,15,11,0,0.577,3,0,3,0,0
Garrett Arbelbide,1937,1939,Northern Arizona,3,27,8,17,2,0.333,0,0,0,0,
Phillip Arbuckle,1914,1923,Rice,9,75,44,23,8,0.64,0,0,0,0,
Mike Archer,1987,1990,Louisiana State,4,46,27,18,1,0.598,2,1,1,0,0.5
Bruce Arians,1983,1988,Temple,6,66,27,39,0,0.409,0,0,0,0,
Ike Armstrong,1925,1949,Utah,25,211,141,55,15,0.704,1,1,0,0,1
Bill Arnsparger,1984,1986,Louisiana State,3,36,26,8,2,0.75,3,0,3,0,0
Dave Arslanian,1998,1999,Utah State,2,22,7,15,0,0.318,0,0,0,0,
Sarkis Arslanian,1973,1981,Colorado State,9,96,45,47,4,0.49,0,0,0,0,
Tom Arth,2019,2019,Akron,1,12,0,12,0,0,0,0,0,0,
Chris Ash,2016,2019,Rutgers,4,40,8,32,0,0.2,0,0,0,0,
Charles Atkinson,1949,1955,Brigham Young,7,70,18,49,3,0.279,0,0,0,0,
Chris Ault,1992,2012,Nevada,12,151,95,56,0,0.629,10,2,8,0,0.2
Joe Avezzano,1980,1984,Oregon State,5,55,6,47,2,0.127,0,0,0,0,
Dino Babers,2014,2019,Syracuse,6,76,41,35,0,0.539,2,2,0,0,1
Joe Bach,1934,1934,Duquesne,1,10,8,2,0,0.8,0,0,0,0,
Charlie Bachman,1919,1946,Michigan State,27,234,132,80,22,0.611,1,0,1,0,0
Walter Bachman,1905,1906,Texas A&M,2,16,13,3,0,0.813,0,0,0,0,
A.H. Badenoch,1918,1918,Stanford,1,4,0,4,0,0,0,0,0,0,
Chuck Baer,1945,1950,Detroit Mercy,6,57,35,21,1,0.623,0,0,0,0,
Kent Baer,2004,2012,San Jose State,2,2,1,1,0,0.5,2,1,1,0,0.5
Enoch Bagshaw,1921,1929,Washington,9,91,64,21,6,0.736,2,0,1,1,0.25
Charlie Bailey,1986,1999,Texas-El Paso,10,106,31,73,2,0.302,0,0,0,0,
David Bailiff,2007,2017,Rice,11,137,57,80,0,0.416,4,3,1,0,0.75
A.G. Baillet,1892,1892,Tufts,1,10,8,2,0,0.8,0,0,0,0,
Art Baker,1973,1988,East Carolina,13,143,64,74,5,0.465,0,0,0,0,
Edward Baker,1940,1940,Carnegie Mellon,1,8,3,5,0,0.375,0,0,0,0,
John Baker,1942,1952,Denver,6,61,23,36,2,0.393,0,0,0,0,
Dave Baldwin,1997,2014,Colorado State,5,46,18,28,0,0.391,1,0,1,0,0
James Baldwin,1922,1927,Wake Forest,4,38,16,17,5,0.487,0,0,0,0,
Jerry Baldwin,1999,2001,Louisiana,3,33,6,27,0,0.182,0,0,0,0,
D.M. Balliet,1893,1901,Purdue,4,34,22,10,2,0.676,0,0,0,0,
Ted Bank,1935,1940,Idaho,6,54,18,32,4,0.37,0,0,0,0,
Laurence Bankart,1910,1916,Colgate,5,38,28,7,3,0.776,0,0,0,0,
Chuck Banker,1986,1986,Iowa State,1,2,1,1,0,0.5,0,0,0,0,
Jeff Banks,2017,2017,Texas A&M,1,1,0,1,0,0,1,0,1,0,0
Mark Banks,1918,1925,Tennessee,8,67,38,25,4,0.597,0,0,0,0,
W.H. Bannard,1898,1898,Northwestern,1,14,9,4,1,0.679,0,0,0,0,
Frank Barbour,1892,1893,Michigan,2,22,14,8,0,0.636,0,0,0,0,
George Barclay,1908,1955,North Carolina,7,70,34,32,4,0.514,1,0,1,0,0
Doug Barfield,1976,1980,Auburn,5,55,27,27,1,0.5,0,0,0,0,
George Barlow,2011,2011,New Mexico,1,8,1,7,0,0.125,0,0,0,0,
Charles Barnard,1904,1904,Georgia,1,6,1,5,0,0.167,0,0,0,0,
Bill Barnes,1958,1964,UCLA,7,68,31,34,3,0.478,1,0,1,0,0
Willis Barnes,1942,1946,New Mexico,4,39,16,18,5,0.474,2,1,0,1,0.75
Gary Barnett,1992,2005,Colorado,14,168,84,83,1,0.503,6,2,4,0,0.333
John Barnhill,1941,1949,Arkansas,8,81,54,22,5,0.698,4,2,1,1,0.625
