,School,Conference,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State,HomeTeams
0,Air Force,Mt. West,Troy Calhoun,885000.0,258.0,13.0,167.0,98.0,69.0,0.0,0.5870000000000001,Air Force,Falcon Stadium,52480,Colorado Springs,Colorado,Air Force Falcons
1,Akron,MAC,Terry Bowden,412500.0,180.0,13.0,152.0,82.0,69.0,1.0,0.5429999999999999,Akron,InfoCision Stadium–Summa Field,30000,Akron,Ohio,Akron Zips
2,Alabama,SEC,Nick Saban,8307000.0,1702.0,24.0,314.0,248.0,65.0,1.0,0.7909999999999999,Alabama,Bryant–Denny Stadium,101821,Tuscaloosa,Alabama,Alabama Crimson Tide
3,Arizona,Pac-12,Kevin Sumlin,2000000.0,1892.0,12.0,153.0,95.0,58.0,0.0,0.621,Arizona,State Farm Stadium,63400,Glendale,Arizona,"Arizona Cardinals, the Fiesta Bowl game, hosted the BCS National Championship game every fourth year, and will host a College Football semifinal game once every three years"
4,Arizona,Pac-12,Kevin Sumlin,2000000.0,1892.0,12.0,153.0,95.0,58.0,0.0,0.621,Arizona,Arizona Stadium,55675,Tucson,Arizona,Arizona Wildcats
5,Arizona State,Pac-12,Herm Edwards,2000000.0,,,,,,,,,Sun Devil Stadium,65870,Tempe,Arizona,Arizona State Sun Devils and the Cactus Bowl game
6,Arkansas,SEC,Chad Morris,3500000.0,1386.0,5.0,59.0,18.0,41.0,0.0,0.305,Arkansas,Donald W. Reynolds Razorback Stadium,76212,Fayetteville,Arkansas,Arkansas Razorbacks
7,Arkansas,SEC,Chad Morris,3500000.0,1386.0,5.0,59.0,18.0,41.0,0.0,0.305,Arkansas,War Memorial Stadium,54120,Little Rock,Arkansas,"No permanent home team, used for one Arkansas Razorbacks game each season"
8,Arkansas State,Sun Belt,Blake Anderson,825000.0,32.0,6.0,77.0,47.0,30.0,0.0,0.61,Arkansas State,Centennial Bank Stadium,30964,Jonesboro,Arkansas,Arkansas State Red Wolves
9,Army,Ind.,Jeff Monken,932521.0,1367.0,6.0,76.0,40.0,36.0,0.0,0.526,Army,Michie Stadium,40000,West Point,New York,Army Black Knights
10,Auburn,SEC,Gus Malzahn,6705656.0,1217.0,8.0,105.0,71.0,34.0,0.0,0.6759999999999999,Auburn,Jordan-Hare Stadium,87451,Auburn,Alabama,Auburn Tigers
11,Auburn,SEC,Gus Malzahn,6705656.0,1217.0,8.0,105.0,71.0,34.0,0.0,0.6759999999999999,Auburn,Legion Field,71594,Birmingham,Alabama,"UAB Blazers (Main tenant), the Magic City Classic game, and the BBVA Compass Bowl game; former part-time home for Alabama (full-time for 1987) and Auburn"
12,Boise State,Mt. West,Bryan Harsin,1650010.0,837.0,7.0,93.0,71.0,22.0,0.0,0.763,Boise State,Albertsons Stadium,36387,Boise,Idaho,Boise State Broncos and the Famous Idaho Potato Bowl game
