Rank,School_x,Conference_x,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State_x,HomeTeams,Year,School_y,Conference_y,Sport,State_y,GSR,FGR,SchoolG
1,Oklahoma,Big 12,Lincoln Riley,4800000,1640,3,42,36,6,0,0.857,Oklahoma,Gaylord Family Oklahoma Memorial Stadium,88308,Norman,Oklahoma,Oklahoma Sooners,1998,University of Oklahoma,Big 12 Conference,Football,OK,51,38,Oklahoma
2,Ohio State,Big Ten,Urban Meyer,7600000,1332,17,219,187,32,0,0.854,Ohio State,Ohio Stadium,110045,Columbus,Ohio,Ohio State Buckeyes,1998,The Ohio State University,Big Ten Conference,Football,OH,54,49,Ohio State
3,Clemson,ACC,Dabo Swinney,6543350,1905,12,161,130,31,0,0.807,Clemson,Frank Howard Field at Clemson Memorial Stadium,86092,Clemson,South Carolina,Clemson Tigers,1998,Clemson University,Atlantic Coast Conference,Football,SC,72,49,Clemson
4,Washington,Pac-12,Chris Petersen,4377500,1541,14,185,147,38,0,0.795,Washington,FedExField,91704,Landover,Maryland,Washington Redskins,1998,Eastern Washington University,Big Sky Conference,Football,WA,76,42,Washington
5,Alabama,SEC,Nick Saban,8307000,1702,24,314,248,65,1,0.791,Alabama,Bryant–Denny Stadium,101821,Tuscaloosa,Alabama,Alabama Crimson Tide,1998,Alabama State University,Southwestern Athletic Conf.,Football,AL,44,41,Alabama
6,Georgia,SEC,Kirby Smart,6603600,1796,4,56,44,12,0,0.786,Georgia,Sanford Stadium,93246,Athens,Georgia,Georgia Bulldogs,1998,Georgia Southern University,Southern Conference,Football,GA,64,60,Georgia
7,Boise State,Mt. West,Bryan Harsin,1650010,837,7,93,71,22,0,0.763,Boise State,Albertsons Stadium,36387,Boise,Idaho,Boise State Broncos and the Famous Idaho Potato Bowl game,1998,Boise State University,Western Athletic Conference,Football,ID,66,52,Boise State
8,Texas A&M,SEC,Jimbo Fisher,7500000,660,10,132,100,32,0,0.758,Texas A&M,Kyle Field,110633,College Station,Texas,Texas A&M Aggies,1998,"Texas A&M University, College Station",Big 12 Conference,Football,TX,63,59,Texas A&M
9,Stanford,Pac-12,David Shaw,4311543,1760,9,120,86,34,0,0.717,Stanford,Stanford Stadium,50000,Stanford,California,Stanford Cardinal,1998,Stanford University,Pac-12 Conference,Football,CA,92,88,Stanford
10,Texas,Big 12,Tom Herman,5500000,879,5,66,47,19,0,0.712,Texas,Darrell K Royal–Texas Memorial Stadium,103507,Austin,Texas,Texas Longhorns,1998,University of North Texas,Sun Belt Conference,Football,TX,52,47,Texas
11,Notre Dame,Ind.,Brian Kelly,2129638,1041,16,204,145,59,0,0.711,Notre Dame,Notre Dame Stadium,77622,South Bend,Indiana,Notre Dame Fighting Irish,1998,University of Notre Dame,Independent,Football,IN,96,85,Notre Dame
12,Memphis,AAC,Mike Norvell,2600000,1461,4,54,38,16,0,0.704,Memphis,Liberty Bowl Memorial Stadium,58318,Memphis,Tennessee,"Memphis Tigers, the Liberty Bowl game, and the Southern Heritage Classic game",1998,University of Memphis,Conference USA,Football,TN,61,48,Memphis
13,Louisville,ACC,Bobby Petrino,3980434,1544,14,175,119,56,0,0.68,Western Kentucky,Cardinal Stadium,61000,Louisville,Kentucky,Louisville Cardinals,1998,University of Louisville,Conference USA,Football,KY,48,42,Louisville
14,Auburn,SEC,Gus Malzahn,6705656,1217,8,105,71,34,0,0.676,Auburn,Jordan-Hare Stadium,87451,Auburn,Alabama,Auburn Tigers,1998,Auburn University,Southeastern Conference,Football,AL,59,46,Auburn
15,Utah,Pac-12,Kyle Whittingham,3787917,2080,16,195,131,64,0,0.672,Utah,Rice-Eccles Stadium,45807,Salt Lake City,Utah,Utah Utes,1998,Southern Utah University,Independent,Football,UT,63,45,Utah
16,Wisconsin,Big Ten,Paul Chryst,3750000,329,8,106,71,35,0,0.67,Wisconsin,Camp Randall Stadium,80321,Madison,Wisconsin,Wisconsin Badgers,1998,University of Wisconsin-Madison,Big Ten Conference,Football,WI,67,50,Wisconsin
17,Oklahoma State,Big 12,Mike Gundy,5000000,782,15,193,129,64,0,0.668,Oklahoma State,Boone Pickens Stadium,60218,Stillwater,Oklahoma,Oklahoma State Cowboys,1998,Oklahoma State University,Big 12 Conference,Football,OK,61,62,Oklahoma State
18,Michigan,Big Ten,Jim Harbaugh,7504000,817,9,115,76,39,0,0.661,Michigan,Michigan Stadium,115109,Ann Arbor,Michigan,Michigan Wolverines,1998,Central Michigan University,Mid-American Conference,Football,MI,64,55,Michigan
